SQL,database,question
"SELECT T1.artist_name ,  T1.country FROM artist AS T1 JOIN song AS T2 ON T1.artist_name  =  T2.artist_name WHERE T2.song_name LIKE ""%love%""",music_1,"What are the names of the artists who released a song that has the word love in its title, and where are the artists from?
"
"SELECT T2.date_of_enrolment FROM Courses AS T1 JOIN Student_Course_Enrolment AS T2 ON T1.course_id  =  T2.course_id WHERE T1.course_name  =  ""Spanish""",e_learning,"Find the the date of enrollment of the ""Spanish"" course.
"
"SELECT role_description FROM ROLES WHERE role_code = ""ED"";",cre_Doc_Control_Systems,"What is the description of role code ED?
"
SELECT store_id FROM inventory GROUP BY store_id ORDER BY count(*) DESC LIMIT 1,sakila_1,"Which store owns most items?
"
"SELECT capital FROM state WHERE state_name  =  ""texas"";",geo,"what is the capital of texas
"
"SELECT border FROM border_info WHERE state_name  =  ""kentucky"";",geo,"which state borders kentucky
"
"SELECT state ,  acc_type ,  credit_score FROM customer WHERE no_of_loans  =  0",loan_1,"What are the states, account types, and credit scores for customers who have 0 loans?
"
SELECT College FROM match_season GROUP BY College HAVING count(*)  >=  2,match_season,"Show the name of colleges that have at least two players.
"
SELECT count(*) FROM College WHERE enr  >  15000,soccer_2,"How many colleges has more than 15000 students?
"
"SELECT T3.forename ,  T3.surname FROM races AS T1 JOIN results AS T2 ON T1.raceid = T2.raceid JOIN drivers AS T3 ON T2.driverid = T3.driverid WHERE T1.name = ""Australian Grand Prix"" EXCEPT SELECT T3.forename ,  T3.surname FROM races AS T1 JOIN results AS T2 ON T1.raceid = T2.raceid JOIN drivers AS T3 ON T2.driverid = T3.driverid WHERE T1.name = ""Chinese Grand Prix""",formula_1,"What are the forenames and surnames of drivers who participated in the races named Australian Grand Prix but not the races named Chinese Grand Prix?
"
SELECT count(*) FROM store,sakila_1,"How many stores are there?
"
SELECT count(*) FROM products WHERE product_price  >  (SELECT avg(product_price) FROM products),customers_and_products_contacts,"How many products have a price higher than the average?
"
"SELECT DISTINCT t3.paperid FROM paperkeyphrase AS t2 JOIN keyphrase AS t1 ON t2.keyphraseid  =  t1.keyphraseid JOIN paper AS t3 ON t3.paperid  =  t2.paperid WHERE t1.keyphrasename  =  ""Question Answering"";",scholar,"list papers that used Question Answering
"
SELECT count(DISTINCT gender) FROM dorm,dorm_1,"Find the number of distinct gender for dorms.
"
"SELECT T1.Year FROM film_market_estimation AS T1 JOIN market AS T2 ON T1.Market_ID  =  T2.Market_ID WHERE T2.Country  =  ""Japan"" ORDER BY T1.Year DESC",film_rank,"Please list the years of film market estimations when the market is in country ""Japan"" in descending order.
"
"SELECT count(DISTINCT T3.title) FROM albums AS T1 JOIN tracklists AS T2 ON T1.aid  =  T2.albumid JOIN songs AS T3 ON T2.songid  =  T3.songid WHERE t1.type  =  ""Studio""",music_2,"Find the number of songs in all the studio albums.
"
SELECT count(*) FROM market WHERE Number_cities  <  300,film_rank,"Count the number of markets that have a number of cities lower than 300.
"
SELECT name FROM artist WHERE artist_id NOT IN (SELECT artist_id FROM exhibition),theme_gallery,"Show names for artists without any exhibition.
"
SELECT Name FROM manager ORDER BY LEVEL ASC,railway,"What are the names of managers in ascending order of level?
"
"SELECT COUNT ( river_name ) FROM river WHERE traverse NOT IN ( SELECT state_name FROM state WHERE capital  =  ""albany"" );",geo,"how many rivers do not traverse the state with the capital albany
"
"SELECT artist_name FROM artist WHERE country  =  ""UK"" INTERSECT SELECT T1.artist_name FROM artist AS T1 JOIN song AS T2 ON T1.artist_name  =  T2.artist_name WHERE T2.languages  =  ""english""",music_1,"Return the names of singers who are from UK and released an English song.
"
"SELECT DISTINCT t1.clubname FROM club AS t1 JOIN member_of_club AS t2 ON t1.clubid  =  t2.clubid JOIN student AS t3 ON t2.stuid  =  t3.stuid WHERE t3.city_code  =  ""HOU""",club_1,"Which clubs have one or more members from the city with code ""HOU""? Give me the names of the clubs.
"
"SELECT count(*) ,  rank FROM captain GROUP BY rank",ship_1,"Count the number of captains that have each rank.
"
"SELECT t1.name FROM CAST AS t2 JOIN actor AS t1 ON t2.aid  =  t1.aid JOIN movie AS t3 ON t3.mid  =  t2.msid WHERE t1.name  =  ""Gabriele Ferzetti"" ORDER BY t3.release_year DESC LIMIT 1;",imdb,"Find the latest movie which "" Gabriele Ferzetti "" acted in
"
SELECT Shop_Name FROM shop WHERE Shop_ID NOT IN (SELECT Shop_ID FROM stock),device,"List the names of shops that have no devices in stock.
"
"SELECT avg(capacity) ,  min(capacity) ,  max(capacity) FROM cinema WHERE openning_year  >=  2011",cinema,"Show the average, minimum, and maximum capacity for all the cinemas opened in year 2011 or later.
"
"SELECT T2.Name FROM entrepreneur AS T1 JOIN people AS T2 ON T1.People_ID  =  T2.People_ID WHERE T1.Investor != ""Rachel Elnaugh""",entrepreneur,"Return the names of entrepreneurs do no not have the investor Rachel Elnaugh.
"
"SELECT DISTINCT COUNT ( DISTINCT t3.paperid ) FROM paperdataset AS t2 JOIN dataset AS t1 ON t2.datasetid  =  t1.datasetid JOIN paper AS t3 ON t3.paperid  =  t2.paperid WHERE t1.datasetname LIKE ""ImageNet"";",scholar,"How many papers written on ImageNet ?
"
"SELECT DISTINCT Registration_Date ,  Election_Cycle FROM VOTING_RECORD",voter_2,"Report the distinct registration date and the election cycle.
"
SELECT job_id FROM job_history WHERE end_date - start_date  > 300 GROUP BY job_id HAVING COUNT(*) >= 2,hr_1,"What are the job ids for jobs done more than once for a period of more than 300 days?
"
"SELECT COUNT ( DISTINCT name  ) FROM actor WHERE birth_city  =  ""New York City"" AND birth_year  >  1980 AND gender  =  ""female"";",imdb,"How many female actors were born in "" New York City "" after 1980 ?
"
"SELECT T1.customer_name ,  T1.customer_phone FROM customers AS T1 JOIN mailshot_customers AS T2 ON T1.customer_id  =  T2.customer_id WHERE T2.outcome_code  =  'No Response'",customers_campaigns_ecommerce,"Show the name and phone for customers with a mailshot with outcome code 'No Response'.
"
"SELECT customer_status_code ,  cell_mobile_phone_number ,  email_address FROM Customers WHERE first_name = ""Marina"" OR last_name  =  ""Kohler""",driving_school,"What is the status code, mobile phone number and email address of customer with last name as Kohler or first name as Marina?
"
"SELECT population FROM city WHERE city_name  =  ( SELECT capital FROM state WHERE state_name  =  ""texas"" );",geo,"what is the size of the capital of texas
"
"SELECT Market_Rate ,  name FROM furniture WHERE Furniture_ID NOT IN (SELECT Furniture_ID FROM furniture_manufacte)",manufacturer,"Find the market shares and names of furnitures which no any company is producing in our records.
"
SELECT Name FROM member WHERE Member_ID NOT IN (SELECT Member_ID FROM member_attendance),performance_attendance,"List the names of members who did not attend any performance.
"
"SELECT t2.title FROM publication AS t2 JOIN journal AS t1 ON t2.jid  =  t1.jid WHERE t1.name  =  ""PVLDB"";",academic,"return me the papers on PVLDB .
"
"SELECT T1.first_name ,  T1.last_name ,  T2.department_name ,  T3.city ,  T3.state_province FROM employees AS T1 JOIN departments AS T2 ON T1.department_id  =  T2.department_id JOIN locations AS T3 ON T2.location_id  =  T3.location_id",hr_1,"What are the full names, departments, cities, and state provinces for each employee?
"
"SELECT T2.balance ,  T3.balance FROM accounts AS T1 JOIN checking AS T2 ON T1.custid  =  T2.custid JOIN savings AS T3 ON T1.custid  =  T3.custid WHERE T1.name  =  'Brown'",small_bank_1,"What are the checking and savings balances in accounts belonging to Brown?
"
SELECT count(*) FROM participants WHERE participant_type_code  =  'Organizer',local_govt_in_alabama,"How many participants belong to the type 'Organizer'?
"
SELECT COUNT (DISTINCT ID) FROM teaches WHERE semester  =  'Spring' AND YEAR  =  2010,college_2,"Find the total number of instructors who teach a course in the Spring 2010 semester.
"
"SELECT t2.house_number  ,  t1.name FROM restaurant AS t1 JOIN LOCATION AS t2 ON t1.id  =  t2.restaurant_id WHERE t2.city_name  =  ""san francisco"" AND t2.street_name  =  ""buchanan"" AND t1.food_type  =  ""arabic"" AND t1.rating  >  2.5;",restaurants,"where are some restaurants good for arabic food on buchanan in san francisco ?
"
"SELECT t3.characteristic_name FROM products AS t1 JOIN product_characteristics AS t2 ON t1.product_id  =  t2.product_id JOIN CHARACTERISTICS AS t3 ON t2.characteristic_id  =  t3.characteristic_id WHERE t1.product_name  =  ""sesame""",products_gen_characteristics,"What are all the characteristic names of product ""sesame""?
"
"SELECT T2.Location ,  T1.Aircraft FROM aircraft AS T1 JOIN MATCH AS T2 ON T1.Aircraft_ID  =  T2.Winning_Aircraft",aircraft,"What is the location and name of the winning aircraft?
"
"SELECT first_name ,  department_id FROM employees WHERE last_name  =  'McEwen'",hr_1,"Display the first name, and department number for all employees whose last name is ""McEwen"".
"
SELECT t1.store_name FROM store AS t1 JOIN store_district AS t2 ON t1.store_id  =  t2.store_id WHERE district_id  =  (SELECT district_id FROM district ORDER BY city_population DESC LIMIT 1),store_product,"What are the names of all the stores in the largest district by population?
"
SELECT count(*) FROM Accounts,customers_and_invoices,"How many accounts are there?
"
"SELECT T2.Name FROM entrepreneur AS T1 JOIN people AS T2 ON T1.People_ID  =  T2.People_ID WHERE T1.Investor != ""Rachel Elnaugh""",entrepreneur,"What are the names of entrepreneurs whose investor is not ""Rachel Elnaugh""?
"
"SELECT T1.text_of_notes FROM Assessment_Notes AS T1 JOIN Teachers AS T2 ON T1.teacher_id  =  T2.teacher_id WHERE T2.last_name  =  ""Schuster""",behavior_monitoring,"Find the texts of assessment notes for teachers with last name ""Schuster"".
"
SELECT country FROM airlines WHERE name LIKE 'Orbit%',flight_4,"What are the countries of all airlines whose names start with Orbit?
"
SELECT count(*) FROM medicine WHERE FDA_approved  =  'No',medicine_enzyme_interaction,"How many medicines were not approved by the FDA?
"
"SELECT Amount_Settled ,  Amount_Claimed FROM Claims ORDER BY Amount_Claimed DESC LIMIT 1",insurance_policies,"Find the settlement amount of the claim with the largest claim amount. Show both the settlement amount and claim amount.
"
SELECT publisher FROM book_club EXCEPT SELECT publisher FROM book_club WHERE YEAR  =  1989,culture_company,"Show all publishers which do not have a book in 1989.
"
"SELECT count(*) FROM university WHERE LOCATION LIKE ""%NY%""",university_basketball,"Find how many school locations have the word 'NY'.
"
"SELECT sum(T2.balance) ,  T1.name FROM accounts AS T1 JOIN savings AS T2 ON T1.custid  =  T2.custid GROUP BY T1.name",small_bank_1,"What are the names of customers with accounts, and what are the total savings balances for each?
"
"SELECT t3.house_number  ,  t1.name FROM restaurant AS t1 JOIN geographic AS t2 ON t1.city_name  =  t2.city_name JOIN LOCATION AS t3 ON t1.id  =  t3.restaurant_id WHERE t2.region  =  ""yosemite and mono lake area"" AND t1.food_type  =  ""french"" AND t1.rating  >  2.5;",restaurants,"where is a good restaurant in the yosemite and mono lake area for french food ?
"
SELECT name FROM scientists EXCEPT SELECT T3.name FROM assignedto AS T1 JOIN projects AS T2 ON T1.project  =  T2.code JOIN scientists AS T3 ON T1.scientist  =  T3.SSN WHERE T2.hours  =  (SELECT max(hours) FROM projects),scientist_1,"What are the names of scientists who are not working on the project with the most hours?
"
SELECT MAX ( highest_elevation ) FROM highlow;,geo,"what is the highest elevation in the united states
"
"SELECT T1.project_id ,  T1.project_details FROM Projects AS T1 JOIN Documents AS T2 ON T1.project_id  =  T2.project_id GROUP BY T1.project_id HAVING count(*)  >  2",cre_Docs_and_Epenses,"Return the ids and details corresponding to projects for which there are more than two documents.
"
"SELECT count(*) FROM employees AS T1 JOIN customers AS T2 ON T2.support_rep_id = T1.id WHERE T1.first_name = ""Steve"" AND T1.last_name = ""Johnson"";",store_1,"What is the count of customers that Steve Johnson supports?
"
SELECT count(*) FROM train,train_station,"Show the number of trains
"
"SELECT count(*) ,  crs_code FROM CLASS GROUP BY crs_code",college_1,"How many sections does each course has?
"
SELECT Product_Type_Code FROM Products GROUP BY Product_Type_Code HAVING COUNT(*)  >=  2,solvency_ii,"Show the product type codes that have at least two products.
"
"SELECT avg(T2.fastestlapspeed) FROM races AS T1 JOIN results AS T2 ON T1.raceid = T2.raceid WHERE T1.year = 2008 AND T1.name = ""Monaco Grand Prix""",formula_1,"What is the average fastest lap speed for the Monaco Grand Prix in 2008?
"
"SELECT Company ,  Investor FROM entrepreneur",entrepreneur,"List the companies and the investors of entrepreneurs.
"
SELECT category FROM book_club WHERE YEAR  >  1989 GROUP BY category HAVING count(*)  >=  2,culture_company,"What categories have two or more corresponding books that were made after 1989?
"
SELECT Status FROM city WHERE Population  >  1500 INTERSECT SELECT Status FROM city WHERE Population  <  500,farm,"Show the status shared by cities with population bigger than 1500 and smaller than 500.
"
SELECT name FROM Employee WHERE salary  >  (SELECT avg(salary) FROM Employee),flight_1,"What are the names of all employees who have a salary higher than average?
"
SELECT DISTINCT POSITION FROM match_season,match_season,"What are the different positions for match season?
"
SELECT Shop_Name FROM shop ORDER BY Open_Year DESC LIMIT 1,device,"What is the shop name corresponding to the shop that opened in the most recent year?
"
SELECT avg(Product_Price) FROM Products,solvency_ii,"What is the average price for products?
"
SELECT count(*) FROM airlines AS T1 JOIN routes AS T2 ON T1.alid  =  T2.alid WHERE T1.name  =  'American Airlines',flight_4,"How many routes does American Airlines operate?
"
SELECT T3.location FROM station_company AS T1 JOIN company AS T2 ON T1.company_id  =  T2.company_id JOIN gas_station AS T3 ON T1.station_id  =  T3.station_id WHERE T2.market_value  >  100,gas_company,"What are the locations that have gas stations owned by a company with a market value greater than 100?
"
SELECT Name FROM city ORDER BY Name ASC,county_public_safety,"Return the names of cities, ordered alphabetically.
"
"SELECT DISTINCT t3.paperid FROM paperkeyphrase AS t2 JOIN keyphrase AS t1 ON t2.keyphraseid  =  t1.keyphraseid JOIN paper AS t3 ON t3.paperid  =  t2.paperid WHERE t1.keyphrasename  =  ""Question Answering"";",scholar,"Papers about Question Answering
"
"SELECT part_id ,  chargeable_amount FROM Parts ORDER BY chargeable_amount ASC LIMIT 1",assets_maintenance,"Which part has the least chargeable amount? List the part id and amount.
"
